Age,Gender,Residential,EmploymentStatus,MaritalStatus,HouseholdCategory,OftenTravel,TravellingFor,YearlyTravel,StayDuration,PeopleDuringTravel,LodgingBudget,Seasons,LodgingLocation,LodgingType
21,Male,Urban,Student,Single,B40,No,Holiday,2,3,10,300,Winter,Nature,Airbnb
24,Male,Urban,Employed full-time,Single,B40,No,Holiday,1,2,2,600,Autumn,City Centers,Hotels
27,Male,Urban,Employed full-time,Single,B40,No,Businesses,3,2,7,700,Summer,Beachfront,Hotels
45,Female,Urban,Student,Married,T20,Yes,Both,4,7,5,1000,"Year-round, I travel regularly",Nature,Hotels
70,Female,Urban,Self-employed,Married,M40,No,Both,6,3,5,900,"Year-round, I travel regularly",City Centers,Hotels
23,Male,Urban,Student,Single,T20,No,Holiday,2,3,5,850,Autumn,Beachfront,Hotels
61,Female,Rural,Retired,Married,M40,No,I don't travel,0,3,3,900,Summer,City Centers,Hotels
22,Male,Rural,Student,Single,T20,No,Holiday,3,2,5,100,Spring,Beachfront,Airbnb
27,Male,Urban,Employed full-time,Married,M40,No,Both,1,4,5,300,Spring,Countryside,Hotels
25,Male,Urban,Employed full-time,Single,M40,No,Holiday,5,1,4,500,"Year-round, I travel regularly",Beachfront,Hotels
25,Female,Rural,Employed full-time,Single,T20,No,Holiday,3,4,6,900,"Year-round, I travel regularly",City Centers,Hotels
33,Female,Urban,Employed full-time,Single,M40,No,Holiday,4,3,7,700,Summer,Beachfront,Hotels
42,Female,Urban,Employed full-time,Married,B40,Yes,Both,4,3,7,500,Autumn,City Centers,Hotels
45,Female,Rural,Self-employed,Married,M40,No,Both,12,3,3,300,Winter,City Centers,Hotels
48,Female,Urban,Employed full-time,Married,T20,No,Holiday,1,10,6,700,Summer,City Centers,Hotels
22,Female,Urban,Student,Single,B40,Yes,Both,3,3,4,700,Autumn,Countryside,Airbnb
23,Female,Rural,Student,Single,B40,Yes,Holiday,2,3,10,650,Spring,Nature,Airbnb
29,Female,Urban,Employed full-time,Married,M40,No,Both,5,4,2,550,Winter,City Centers,Hotels
56,Female,Urban,Employed full-time,Married,M40,No,Both,3,3,5,700,Spring,City Centers,Hotels
50,Female,Urban,Employed full-time,Married,M40,Yes,Holiday,2,3,5,500,Autumn,Nature,Airbnb
60,Female,Urban,Retired,Married,M40,Yes,Businesses,1,15,5,1200,Autumn,City Centers,Hotels
65,Female,Urban,Retired,Married,T20,No,Businesses,6,5,2,650,"Year-round, I travel regularly",City Centers,Hotels
52,Female,Urban,Student,Married,M40,Yes,Holiday,2,5,4,300,Autumn,Nature,Airbnb
43,Female,Urban,Employed full-time,Married,M40,No,Holiday,3,4,6,400,"Year-round, I travel regularly",City Centers,Hotels
59,Female,Urban,Employed full-time,Married,T20,No,Businesses,1,12,5,500,Spring,City Centers,Hotels
43,Female,Urban,Employed full-time,Married,M40,No,Holiday,2,3,5,800,Autumn,Countryside,Hotels
37,Female,Urban,Employed full-time,Married,M40,Yes,Holiday,2,3,12,900,Spring,Beachfront,Hotels
42,Female,Urban,Student,Married,M40,Yes,Holiday,3,3,5,150,"Year-round, I travel regularly",Nature,Airbnb
52,Female,Urban,Retired,Married,B40,Yes,Holiday,2,4,5,800,Summer,Countryside,Airbnb
65,Female,Urban,Retired,Married,B40,Yes,Businesses,5,10,10,560,"Year-round, I travel regularly",Nature,Hotels
65,Female,Urban,Self-employed,Widowed,B40,No,I don't travel,1,1,1,800,Spring,City Centers,Hotels
27,Female,Urban,Employed full-time,Single,M40,No,I don't travel,2,2,7,1200,Spring,Beachfront,Hotels
62,Female,Rural,Student,Married,B40,Yes,Holiday,3,3,5,150,"Year-round, I travel regularly",Nature,Airbnb
44,Male,Urban,Self-employed,Widowed,B40,No,I don't travel,0,2,5,300,Summer,Beachfront,Airbnb
59,Female,Urban,Retired,Married,M40,No,Both,4,4,2,700,Summer,Beachfront,Hotels
24,Female,Urban,Employed full-time,Single,M40,Yes,Holiday,1,5,6,800,Autumn,City Centers,Hotels
