Age,Residential,EmploymentStatus,MaritalStatus,HouseholdCategory,OftenTravel,TravellingFor,YearlyTravel,StayDuration,PeopleDuringTravel,LodgingBudget,LodgingLocation,LodgingType
45,Rural,Self-employed,Married,M40,No,Both,12,3,3,300,City Centers,Hotels
48,Urban,Employed full-time,Married,T20,No,Holiday,1,10,6,700,City Centers,Hotels
22,Urban,Student,Single,B40,Yes,Both,3,3,4,700,Countryside,Airbnb
23,Rural,Student,Single,B40,Yes,Holiday,2,3,10,650,Nature,Airbnb
29,Urban,Employed full-time,Married,M40,No,Both,5,4,2,550,City Centers,Hotels
56,Urban,Employed full-time,Married,M40,No,Both,3,3,5,700,City Centers,Hotels
50,Urban,Employed full-time,Married,M40,Yes,Holiday,2,3,5,500,Nature,Airbnb
60,Urban,Retired,Married,M40,Yes,Businesses,1,15,5,1200,City Centers,Hotels
65,Urban,Retired,Married,T20,No,Businesses,6,5,2,650,City Centers,Hotels
52,Urban,Student,Married,M40,Yes,Holiday,2,5,4,300,Nature,Airbnb
43,Urban,Employed full-time,Married,M40,No,Holiday,3,4,6,400,City Centers,Hotels
59,Urban,Employed full-time,Married,T20,No,Businesses,1,12,5,500,City Centers,Hotels
43,Urban,Employed full-time,Married,M40,No,Holiday,2,3,5,800,Countryside,Hotels
37,Urban,Employed full-time,Married,M40,Yes,Holiday,2,3,12,900,Beachfront,Hotels
42,Urban,Student,Married,M40,Yes,Holiday,3,3,5,150,Nature,Airbnb
52,Urban,Retired,Married,B40,Yes,Holiday,2,4,5,800,Countryside,Airbnb
65,Urban,Retired,Married,B40,Yes,Businesses,5,10,10,560,Nature,Hotels
65,Urban,Self-employed,Widowed,B40,No,I don't travel,1,1,1,800,City Centers,Hotels
27,Urban,Employed full-time,Single,M40,No,I don't travel,2,2,7,1200,Beachfront,Hotels
62,Rural,Student,Married,B40,Yes,Holiday,3,3,5,150,Nature,Airbnb
44,Urban,Self-employed,Widowed,B40,No,I don't travel,0,2,5,300,Beachfront,Airbnb
59,Urban,Retired,Married,M40,No,Both,4,4,2,700,Beachfront,Hotels
24,Urban,Employed full-time,Single,M40,Yes,Holiday,1,5,6,800,City Centers,Hotels
65,Urban,Retired,Married,B40,No,Businesses,5,5,5,1000,Countryside,Hotels
67,Urban,Retired,Married,M40,No,Businesses,3,3,1,200,Beachfront,Hotels
63,Urban,Retired,Married,B40,No,Businesses,1,3,8,400,City Centers,Hotels
65,Rural,Retired,Married,B40,No,Holiday,3,3,2,100,Nature,Airbnb
65,Urban,Retired,Married,B40,Yes,Holiday,2,8,6,400,Countryside,Airbnb
67,Urban,Employed part-time,Married,B40,Yes,Holiday,2,7,4,550,Nature,Airbnb
70,Urban,Retired,Married,B40,No,Holiday,2,3,4,600,City Centers,Hotels
65,Urban,Retired,Widowed,B40,Yes,Holiday,4,5,4,300,Nature,Airbnb
24,Urban,Student,Single,T20,Yes,Holiday,5,4,6,900,City Centers,Hotels
65,Urban,Retired,Married,M40,Yes,Holiday,5,3,6,250,City Centers,Airbnb
25,Urban,Employed full-time,Single,M40,No,Holiday,3,3,6,850,Beachfront,Hotels
57,Urban,Retired,Married,T20,Yes,Businesses,3,5,4,1000,City Centers,Hotels
33,Urban,Employed full-time,Widowed,T20,Yes,Both,6,14,4,300,Countryside,Airbnb
60,Urban,Retired,Widowed,T20,Yes,Holiday,3,3,6,250,Nature,Airbnb
56,Urban,Retired,Widowed,M40,No,Holiday,6,4,10,1000,Nature,Hotels
27,Urban,Employed full-time,Single,B40,Yes,Holiday,1,3,4,400,Nature,Airbnb
50,Rural,Unemployed,Married,B40,Yes,Holiday,1,4,5,600,Countryside,Airbnb
64,Urban,Student,Married,B40,Yes,Holiday,3,5,4,400,Nature,Airbnb
45,Rural,Student,Married,B40,Yes,Both,6,15,5,150,Countryside,Airbnb
24,Urban,Employed full-time,Single,M40,No,Businesses,2,3,5,1100,City Centers,Hotels
35,Urban,Employed full-time,Married,M40,No,I don't travel,0,3,0,1050,City Centers,Hotels
